Unnamed: 0,City,Price,Title,bedroom,ft
868,nashua,2375,"head-turning style, extraordinary location at lofts 34",2,1402
869,walnutst,1250,clean and quiet-all utilities included,2,
870,nashua,1825,life just got better at lofts 34,2,951
871,69pinkhamrdleenh,900,$ 900  lee nh small 2 brm 2 nd floor,2,600
872,"bedford,n.h.",350,half duplex for rent,2,900
873,manchester,1785,cozy up to your own fireplace this season at mill west #313,2,1100
874,"10sentinelct,manchesternh",1329,1st floor apartment with full size w/d  bathroom grab bars,2,861
875,nashua,1495,save time searching for your new apartment home,2,980
876,salem-you'lllovelivinghere!,1895,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
877,salem-handytoi-93,2185,never been lived in gorgeous new luxury unit pet friendly no fee,2,
878,145easternavemanchesternh,1259,2 bedroom for rent first floor on-site laundry,2,733
879,ternburysquare,1400,great commuter location in south nashua,2,1200
880,centertuftonboro,1300,large 1 bedroom apartment with spare room,1,1000
881,nashua,1550,"beautiful community, beautiful apartment",2,1050
882,119easternavemanchester,1299,settle into your new 2 bedroom apartment in time for winter,2,833
883,newton/southhamptonnh,1500,extra large 1 bed possibly 2,1,1800
884,keene/jaffreyarea,1200,beautiful lakehome 1+ br flat (1000 sq. ft.),2,
885,franklin,1075,beautifully renovated 2 bedroom apartment,2,
886,"411middlest,portsmouthnh",1600,over-sized studio apt in extraordinary setting/community,650ft2,
887,manchester,1000,"1 bedroom west side, heated full size washer dryer free internet",1,700
888,westchesterfield,1025,"heat included,spacious and quiet 2 bedroom apt.",2,
889,laconia,1255,need an apartment to move in asap in laconia- call today,2,984
890,nashua,1600,just a walk away from main street at lofts 34,1,803
891,manchester,1850,no application fees easy walkability to elm st. and more #311,2,1035
892,"20sentinelcourt,manchesternh",1329,handicap accessible - save $ -2 bdrm/ 2 bath / two car parking,2,861
893,177easternavemanchester,1099,looking for a one bedroom look no more,1,633
894,laconia,1500,who wouldn't want to have a house to themselves in laconia,3,1456
895,"145easternave,manchesternh",1259,first floor corner apartment for rent,2,733
